Month,DayOfMonth,DayOfWeek,DepTime,Distance,UniqueCarrier,Origin,Dest,DepDelay,Label
1,6,2,1745,1044,WN,MCI,BDL,59,0
1,5,3,740,1790,WN,PVD,PIT,8,1
1,4,2,850,369,WN,MCI,LAS,-4,0
1,3,3,1745,1959,WN,BWI,RDU,8,0
1,5,2,1930,714,WN,PHX,BDL,8,1
1,3,5,1605,192,WN,HOU,SMF,-3,0
1,4,2,1745,239,WN,RNO,PIT,10,0
1,3,3,1430,1910,WN,TPA,OAK,0,0
1,6,5,1430,587,WN,TUS,BNA,0,0
1,3,6,1630,402,WN,TPA,PHX,-4,0
1,4,6,1820,369,WN,TUS,ELP,12,0
1,3,6,840,192,WN,LAS,PHX,-4,0
1,4,4,2030,365,WN,SMF,FLL,8,0
1,3,2,2205,714,WN,TPA,ISP,7,0
1,3,4,940,251,WN,DAL,LAS,35,0
1,6,4,1540,611,WN,LAS,PIT,59,0
1,3,4,1820,395,WN,LAX,ELP,2,0
1,6,3,2030,714,WN,RNO,RDU,12,0
1,5,5,1200,587,WN,ORF,RDU,14,1
1,5,3,715,1910,WN,MCI,MHT,14,1
1,2,3,840,834,WN,BNA,LAS,2,0
1,4,5,1540,192,WN,BNA,LAS,7,0
1,6,2,1315,2106,WN,LAX,LAS,8,0
1,4,6,1925,569,WN,BWI,BUR,15,0
1,4,3,1605,365,WN,SJC,BNA,-2,0
1,3,6,2030,601,WN,RNO,PDX,27,0
1,3,2,1930,1959,WN,RNO,PHX,35,0
1,5,5,1820,612,WN,SMF,BDL,0,1
1,4,3,940,239,WN,RNO,PIT,3,0
1,4,2,955,395,WN,BNA,PHX,45,0
1,4,6,1605,251,WN,MCO,SMF,8,0
1,5,2,1525,1910,WN,HOU,BUR,-1,1
1,5,2,1705,612,WN,PIT,LAS,-1,1
1,6,4,1630,1910,WN,HOU,MCO,2,0
1,5,5,1315,159,WN,HOU,PIT,45,1
1,4,3,1955,1044,WN,BWI,OAK,59,0
1,5,3,715,159,WN,PIT,PIT,8,1
1,4,2,1955,714,WN,DAL,MHT,29,0
1,2,2,1745,369,WN,MCI,SMF,6,0
1,4,5,1315,1044,WN,BUR,DAL,29,0
1,5,5,700,192,WN,PIT,OAK,0,1
1,2,2,2205,587,WN,MCI,MHT,-1,0
1,6,5,2030,397,WN,MDW,SMF,10,0
1,5,3,840,1073,WN,MDW,PIT,13,1
1,5,4,1315,587,WN,DAL,FLL,7,1
1,3,3,850,1044,WN,BNA,LBB,97,0
1,5,5,940,251,WN,ORF,MDW,10,1
1,4,6,740,1790,WN,DAL,BWI,-2,0
1,5,6,840,1959,WN,PIT,MDW,0,1
1,5,2,745,402,WN,BNA,DAL,8,1
1,2,5,1315,1910,WN,BWI,PHX,-3,0
1,3,4,1525,1959,WN,HOU,FLL,35,0
1,5,5,1630,377,WN,TUS,MHT,13,1
1,4,5,1925,852,WN,PIT,BNA,0,0
1,3,3,1430,395,WN,PHX,MHT,35,0
1,3,3,700,293,WN,BNA,LBB,-3,0
1,2,4,1430,1959,WN,HOU,RDU,14,0
1,3,3,640,834,WN,TUS,STL,29,0
1,3,5,2205,611,WN,SMF,TPA,0,0
1,6,3,700,178,WN,BNA,TPA,-3,0
1,3,2,1315,178,WN,TUS,FLL,8,0
1,5,6,1305,714,WN,BWI,MHT,-3,1
1,3,2,715,601,WN,DAL,LAS,6,0
1,4,5,1300,369,WN,BWI,BUR,29,0
1,2,2,840,178,WN,HOU,TPA,2,0
1,4,4,740,2106,WN,SMF,SMF,10,0
1,6,2,1315,251,WN,MCI,LAS,45,0
1,4,2,1315,714,WN,HOU,LAS,27,0
1,2,6,1135,601,WN,TUS,BDL,-2,0
